Kabupaten/Kota,Rata-rata Penduduk Miskin 2019,Rata-rata Penduduk Miskin 2020,Rata-rata Penduduk Miskin 2021,Jumlah Penggguran 2019,Jumlah Penggguran 2020,Jumlah Penggguran 2021,Rata-rata lama sekolah 2019,Rata-rata lama sekolah 2020,Rata-rata lama sekolah 2021,,,,
Bogor,395.0,465.7,491.2,9.11,14.29,12.22,8.295,8.32,8.365,,,,
Sukabumi,153.3,175.1,194.4,8.05,9.60,9.51,7.21,7.29,7.32,,,,
Cianjur,207.1,234.5,260.0,9.81,11.05,9.32,6.85,7.1,7.11,,,,
Bandung,223.2,263.6,269.2,5.51,8.58,8.32,8.78,8.92,9.06,,,,
Garut,235.2,262.8,281.4,7.35,8.95,8.68,7.5,7.49,7.5,,,,
Tasikmalaya,159.9,181.5,200.6,6.31,7.12,6.16,7.37,7.335,7.485,,,,
Ciamis,79.4,91.4,96.6,5.16,5.66,5.06,7.725,7.735,7.915,,,,
Kuningan,123.2,139.2,143.4,9.68,11.22,11.68,7.455,7.645,7.825,,,,
Cirebon,217.6,247.9,271.0,10.35,11.52,10.38,6.81,7.03,7.14,,,,
Majalengka,121.1,138.2,151.1,4.37,5.84,5.71,7.045,7.215,7.31,,,,
Sumedang,104.2,118.4,126.3,7.70,9.89,9.18,8.275,8.51,8.52,,,,
Indramayu,191.9,220.3,228.6,8.35,9.21,8.30,5.985,6.27,6.485,,,,
Subang,129.2,149.8,159.0,8.68,9.48,9.77,6.795,7.05,7.06,,,,
Purwakarta,71.9,80.2,84.3,9.73,11.07,10.70,8.115,8.205,8.215,,,,
Karawang,173.7,195.4,210.8,9.68,11.52,11.83,7.63,7.685,7.695,,,,
Bekasi,149.4,186.3,202.7,9.00,11.54,10.09,8.915,9.19,9.295,,,,
Bandung Barat,159.0,179.5,190.8,8.24,12.25,11.65,8.255,8.265,8.275,,,,
Pangandaran,30.7,36.1,39.1,4.52,5.08,3.25,7.79,7.85,7.91,,,,
Kota Bogor,64.0,75.0,80.1,9.16,12.68,11.79,10.305,10.33,10.54,,,,
Kota Sukabumi,21.9,25.4,27.2,8.49,12.17,10.78,9.65,9.67,9.9,,,,
Kota Bandung,84.7,100.0,112.5,8.18,11.19,11.46,10.74,10.75,10.975,,,,
Kota Cirebon,26.8,30.6,32.0,9.04,10.97,10.53,9.88,9.905,10.115,,,,
Kota Bekasi,113.7,134.0,144.1,8.30,10.68,10.88,11.325,11.39,11.545,,,,
Kota Depok,49.4,60.4,63.9,6.12,9.87,9.76,11.005,11.15,11.325,,,,
Kota Cimahi,26.9,31.6,32.5,8.09,13.30,13.07,10.83,10.835,10.96,,,,
Kota Tasikmalaya,77.0,86.1,89.5,6.78,7.99,7.66,9.175,9.265,9.465,,,,
Kota Banjar,10.1,11.2,13.4,6.16,6.73,6.09,8.565,8.595,8.775,,,,
